,HDFCBANK,HINDUNILVR,IOC,SUNPHARMA,TATAMOTORS
Feb-25,1732.400024,2190.25,113.4899979,1593.25,620.6500244
Jan-25,1698.75,2468.800049,128.4900055,1733.502686,716.0999756
Dec-24,1772.849976,2326.850098,136.4100037,1875.049683,740.1500244
Nov-24,1796.050049,2496.149902,138.6300049,1770.231445,786.4500122
Oct-24,1735.699951,2518.222656,142.6199951,1837.824097,834.0499878
Sep-24,1732.050049,2946.566895,180.1499939,1915.157959,974.6500244
Aug-24,1636.900024,2766.981934,176.9700012,1810.737305,1111.349976
Jul-24,1615.75,2694.918945,181.6699982,1709.050049,1156.650024
Jun-24,1683.800049,2463.241455,158.9835358,1506.960571,989.75
May-24,1531.550049,2297.429688,155.8831329,1446.46814,920.1604614
Apr-24,1499.621948,2200.168457,162.0743256,1488.381714,1004.799316
Mar-24,1428.394653,2233.608154,161.0184631,1605.75,989.7457275
Feb-24,1384.494141,2379.549316,158.9067383,1563.539063,947.2767944
Jan-24,1442.84729,2447.859131,141.0531311,1397.529175,881.4798584
Dec-23,1686.223877,2627.782715,124.6393356,1240.874268,777.5505371
Nov-23,1537.800659,2510.990479,107.2656479,1207.769775,704.2268066
Oct-23,1456.609375,2432.436035,81.91881561,1072.544067,626.7160034
Sep-23,1505.738525,2414.417969,83.0603714,1141.561035,628.2612305
Aug-23,1550.280151,2453.049072,81.37085724,1095.204956,599.151062
Jul-23,1628.955811,2507.641846,85.61749268,1126.535889,642.3178711
Jun-23,1678.479614,2622.55542,80.8431015,1032.438354,591.8731689
May-23,1589.149414,2591.013916,79.69200134,957.5776978,523.0506592
Apr-23,1645.989502,2386.796387,72.07698059,969.6535645,481.9559937
Mar-23,1569.864014,2486.889893,68.97785187,965.1864014,418.2020264
Feb-23,1560.15918,2390.050537,67.33973694,939.1693115,418.1026611
Jan-23,1563.963135,2502.819336,72.38690186,1008.080872,449.3087769
Dec-22,1588.005371,2487.569824,67.7381897,975.8262939,385.5548401
Nov-22,1568.791016,2607.332031,67.87100983,1019.33606,436.6871948
Oct-22,1459.796387,2461.004639,60.43309402,990.930481,410.2017212
Sep-22,1386.304321,2601.628906,59.28198624,924.4233398,402.1020508
Aug-22,1449.457764,2566.316406,63.31085587,870.2432861,468.1914978
Jul-22,1398.837402,2544.655518,62.45648193,916.1048584,446.8242188
Jun-22,1314.762939,2152.160889,63.5694809,806.739502,409.2575684
May-22,1354.703125,2250.626953,66.20928955,835.8776245,440.811554
Apr-22,1334.939087,2137.390381,71.91698456,901.9728394,434.8983154
Mar-22,1417.613403,1959.310303,67.89305878,888.4721069,431.0720825
Feb-22,1375.095215,2077.376953,65.63851166,819.6574097,451.2467346
Jan-22,1432.412842,2174.593994,69.10485077,804.1817627,514.5534668
Dec-21,1426.338867,2257.226074,61.5430603,814.9748535,479.4217224
Nov-21,1439.981445,2216.483643,65.65513611,726.2208252,455.7686462
Oct-21,1526.078491,2288.786865,68.09055328,766.1167603,480.7137146
Sep-21,1537.744507,2568.194336,66.68032074,788.5220947,331.2919312
Aug-21,1524.680542,2589.391846,58.99052811,765.201355,285.5262451
Jul-21,1375.287964,2217.917236,54.11089706,743.8718262,292.1351929
Jun-21,1444.175293,2349.092773,56.60268021,649.1997681,337.5033569
May-21,1455.183594,2208.354248,57.31086349,642.3275757,316.782074
Apr-21,1355.777832,2221.283447,47.6585083,629.0159912,292.0357971
Mar-21,1433.87207,2294.657959,48.18309402,574.5674438,299.9367065
Feb-21,1472.991089,2012.060425,49.8792305,571.4919434,320.9561462
Jan-21,1334.85022,2136.489746,44.0197258,558.5357056,261.0781555
Dec-20,1378.817383,2260.589111,42.93398666,564.3953857,182.7149353
Nov-20,1383.185059,2017.864258,39.93640137,487.5039063,179.2365417
Oct-20,1136.182739,1954.72937,37.5524826,443.77005,131.8310242
Sep-20,1035.432983,1939.297363,34.88533783,476.832489,132.4770203
Aug-20,1071.192139,1985.335815,40.50287628,495.6980286,142.3158875
Jul-20,991.4658813,2072.115479,41.75383759,505.6444702,104.0039063
Jun-20,1023.193176,2035.376831,40.29043961,449.7735291,97.64341736
May-20,913.5636597,1907.843018,39.27551651,451.0097656,86.46287537
Apr-20,961.706543,2035.489746,39.74756622,441.6901245,92.67427826
Mar-20,827.4056396,2131.468506,38.54381561,335.0358887,70.61134338
Feb-20,1130.518921,2016.71167,47.57875443,354.6263733,128.1538696
